freelancer_id,name,email,country,primary_skill,hourly_rate_usd,years_experience,join_date,rating_avg,total_earnings_usd,profile_complete,verified
FL00001,michael khan,michael.khan70@gmail.com,egypt,javascript,12.0,7.0,2023-04-05,3.6,42353.0,1,1
FL00002,fatima müller,fatima.müller59@outlook.com,australia,ui/ux design,15.0,3.0,2021-10-08,4.1,76361.0,0,0
FL00003,james müller,james.müller88@outlook.com,uk,data analysis,60.0,11.0,2018-12-26,4.0,8914.0,0,1
FL00004,omar yamamoto,omar.yamamoto72@outlook.com,mexico,wordpress,150.0,15.0,2016-08-08,4.8,42438.0,0,1
FL00005,natasha patel,natasha.patel99@outlook.com,uk,wordpress,60.0,0.0,2022-08-24,4.5,133580.0,1,1
FL00006,juan singh,juan.singh40@gmail.com,brazil,graphic design,75.0,10.0,2016-04-03,4.4,144627.0,0,1
FL00007,sergiy garcia,sergiy.garcia57@outlook.com,bangladesh,devops,75.0,7.32,2019-06-23,4.0,87119.0,1,1
FL00008,michael silva,michael.silva56@yahoo.com,bangladesh,video editing,20.0,15.0,2019-07-26,4.1,50362.0,1,0
FL00009,priya johansson,priya.johansson31@gmail.com,canada,node.js,78.45,3.0,2015-03-02,3.8,146191.0,0,0
FL00010,chen nguyen,chen.nguyen68@gmail.com,bangladesh,python,100.0,1.0,2015-08-23,4.8,10918.0,0,0
FL00011,michael brown,michael.brown59@yahoo.com,nan,ui/ux design,30.0,10.0,2019-06-10,3.9,75207.0,0,1
FL00012,nia patel,nia.patel96@outlook.com,nigeria,graphic design,120.0,9.0,2016-07-04,4.0,111537.0,1,1
FL00013,carlos petrov,carlos.petrov89@gmail.com,pakistan,flutter,30.0,14.0,2021-04-16,4.3,27446.0,0,0
FL00014,bjorn petrov,bjorn.petrov53@outlook.com,germany,react,25.0,5.0,2015-04-12,3.8,80503.0,0,0
FL00015,yuki brown,yuki.brown69@yahoo.com,egypt,node.js,50.0,2.0,2018-12-09,3.7,101476.0,1,1
FL00016,fatima petrov,fatima.petrov80@yahoo.com,uk,python,75.0,6.0,2015-10-14,4.6,99890.0,1,1
FL00017,zara mbeki,zara.mbeki57@outlook.com,uk,video editing,12.0,6.0,2021-10-20,4.3,59388.0,1,1
FL00018,sergiy okafor,sergiy.okafor89@gmail.com,canada,wordpress,15.0,6.0,2020-07-17,3.2,32313.0,0,0
FL00019,ivan rossi,ivan.rossi21@outlook.com,brazil,wordpress,40.0,14.0,2019-10-14,3.9,142097.0,1,0
FL00020,ali johansson,ali.johansson54@yahoo.com,pakistan,machine learning,25.0,7.32,2020-03-23,3.6,110343.0,1,1
FL00021,juan singh,juan.singh52@outlook.com,mexico,nan,60.0,7.32,2019-05-12,4.0,99879.0,0,1
FL00022,sarah sharma,sarah.sharma45@gmail.com,mexico,seo,30.0,7.32,2020-04-10,4.4,30486.0,1,0
FL00023,yuki ahmed,yuki.ahmed40@outlook.com,australia,ui/ux design,20.0,3.0,2018-06-28,4.4,148855.0,1,1
FL00024,lena petrov,lena.petrov82@yahoo.com,ukraine,javascript,75.0,0.0,2020-06-30,3.5,70858.0,1,1
FL00025,ali singh,ali.singh28@yahoo.com,canada,node.js,78.45,12.0,2020-07-17,3.2,129165.0,1,1
FL00026,juan johansson,juan.johansson71@yahoo.com,uk,machine learning,25.0,11.0,2020-12-14,4.1,127429.0,0,1
FL00027,james garcia,james.garcia6@gmail.com,usa,php,25.0,11.0,2015-02-27,4.1,125733.0,1,0
FL00028,amara mbeki,amara.mbeki72@yahoo.com,nigeria,flutter,120.0,4.0,2018-05-29,4.1,26513.0,1,0
FL00029,james singh,james.singh38@gmail.com,egypt,javascript,20.0,2.0,2019-08-01,4.5,39556.0,0,0
FL00030,hassan patel,hassan.patel35@outlook.com,pakistan,graphic design,30.0,7.32,2020-04-03,3.8,5938.0,1,1
FL00031,nia brown,nia.brown63@gmail.com,australia,graphic design,20.0,14.0,2017-01-13,4.0,66664.0,0,0
FL00032,zara kumar,zara.kumar64@outlook.com,vietnam,python,120.0,7.32,2017-02-07,3.9,42017.0,1,1
FL00033,olga khan,olga.khan91@yahoo.com,bangladesh,php,15.0,3.0,2020-08-03,4.8,89596.0,0,1
FL00034,lena khan,lena.khan71@outlook.com,philippines,machine learning,30.0,15.0,2020-01-04,4.4,100437.0,1,0
FL00035,lena patel,lena.patel2@outlook.com,canada,python,20.0,10.0,2019-12-09,3.6,83510.0,0,0
FL00036,michael sharma,michael.sharma91@gmail.com,india,wordpress,15.0,9.0,2019-11-13,4.7,47700.0,1,1
FL00037,michael yamamoto,michael.yamamoto2@yahoo.com,nigeria,flutter,25.0,4.0,2022-02-25,4.2,127170.0,0,1
FL00038,sarah singh,sarah.singh7@outlook.com,philippines,machine learning,300.0,12.0,2021-05-07,3.7,36355.0,1,0
FL00039,ravi garcia,ravi.garcia17@outlook.com,australia,copywriting,12.0,4.0,2018-08-31,4.6,20239.0,1,0
FL00040,aarav brown,aarav.brown96@outlook.com,uk,php,75.0,12.0,2021-01-06,3.3,17071.0,0,0
FL00041,david silva,david.silva18@yahoo.com,uk,javascript,20.0,1.0,2016-04-20,3.5,9076.0,1,0
FL00042,carlos müller,carlos.müller16@yahoo.com,bangladesh,php,40.0,11.0,2015-09-06,4.0,145782.0,1,0
FL00043,deepak johansson,nan,pakistan,graphic design,1000.0,4.0,2017-10-23,3.1,29087.0,1,1
FL00044,olga singh,olga.singh55@outlook.com,australia,devops,120.0,14.0,2015-09-07,4.1,100351.0,0,1
FL00045,lena johansson,lena.johansson30@yahoo.com,nigeria,seo,15.0,3.0,2023-01-31,4.9,25813.0,1,0
FL00046,zara müller,zara.müller93@gmail.com,nigeria,video editing,75.0,3.0,2022-06-18,4.4,73524.0,0,0
FL00047,ivan brown,ivan.brown40@yahoo.com,australia,php,100.0,0.0,2015-04-29,3.6,82193.0,0,1
FL00048,natasha sharma,natasha.sharma78@yahoo.com,mexico,python,20.0,1.0,2018-01-19,4.4,73631.88,1,0
FL00049,juan petrov,juan.petrov30@outlook.com,australia,data analysis,30.0,0.0,2016-12-20,3.5,76394.0,1,1
FL00050,zara patel,zara.patel11@yahoo.com,nigeria,copywriting,150.0,2.0,2017-09-23,4.2,39216.0,1,1
FL00051,hassan mbeki,hassan.mbeki73@outlook.com,nigeria,react,120.0,15.0,2023-07-10,4.6,73631.88,1,1
FL00052,hassan mbeki,hassan.mbeki6@yahoo.com,vietnam,php,15.0,12.0,2021-03-20,4.2,22606.0,1,1
FL00053,fatima müller,fatima.müller87@outlook.com,canada,copywriting,75.0,5.0,2018-03-04,3.8,37574.0,1,0
FL00054,david johansson,david.johansson17@outlook.com,uk,react,100.0,7.32,2019-03-23,3.8,90083.0,0,0
FL00055,maria johansson,maria.johansson44@outlook.com,pakistan,react,15.0,3.0,2023-04-14,3.8,75192.0,0,0
FL00056,fatima mbeki,fatima.mbeki49@outlook.com,bangladesh,data analysis,60.0,6.0,2019-12-10,3.7,135742.0,1,1
FL00057,ravi johnson,ravi.johnson54@gmail.com,philippines,copywriting,75.0,13.0,2020-01-22,4.1,124351.0,1,0
FL00058,kofi khan,kofi.khan55@gmail.com,nigeria,python,150.0,6.0,2021-02-25,4.1,135602.0,1,0
FL00059,james sharma,james.sharma68@outlook.com,india,wordpress,40.0,13.0,,4.1,27674.0,1,1
FL00060,kofi yamamoto,kofi.yamamoto18@gmail.com,nan,video editing,40.0,5.0,2022-10-19,3.6,124598.0,0,0
FL00061,sarah patel,sarah.patel96@yahoo.com,ukraine,php,12.0,10.0,2023-12-19,4.6,143492.0,1,1
FL00062,james yamamoto,james.yamamoto46@outlook.com,philippines,data analysis,60.0,13.0,2018-12-10,4.3,37928.0,1,0
FL00063,sofia kumar,sofia.kumar48@yahoo.com,usa,node.js,120.0,7.32,2021-10-14,2.9,68733.0,1,1
FL00064,hassan ahmed,hassan.ahmed88@yahoo.com,mexico,copywriting,25.0,2.0,2022-12-31,3.9,59283.0,1,0
FL00065,hassan johansson,hassan.johansson40@yahoo.com,canada,python,40.0,11.0,2016-06-15,3.8,145020.0,1,0
FL00066,david ahmed,david.ahmed45@outlook.com,mexico,php,12.0,4.0,2016-10-25,3.6,40921.0,0,0
FL00067,ravi kumar,ravi.kumar27@outlook.com,ukraine,php,100.0,0.0,2022-03-12,4.0,115739.0,0,0
FL00068,omar khan,omar.khan41@gmail.com,pakistan,ui/ux design,150.0,11.0,2023-07-13,4.2,86335.0,1,1
FL00069,juan singh,juan.singh31@gmail.com,pakistan,copywriting,75.0,7.32,2016-01-04,4.3,106210.0,0,1
FL00070,maria yamamoto,maria.yamamoto80@outlook.com,bangladesh,ui/ux design,75.0,12.0,2023-07-28,4.3,73631.88,1,0
FL00071,ali hassan,ali.hassan95@yahoo.com,canada,video editing,60.0,7.32,2018-07-28,4.4,7485.0,1,0
FL00072,sofia silva,sofia.silva49@gmail.com,australia,wordpress,100.0,1.0,2016-11-29,4.3,124128.0,1,0
FL00073,maria okafor,maria.okafor69@yahoo.com,pakistan,video editing,25.0,15.0,2018-07-09,3.6,76260.0,1,0
FL00074,david patel,david.patel51@yahoo.com,canada,ui/ux design,75.0,8.0,2021-06-06,5.0,141684.0,0,0
FL00075,priya rossi,priya.rossi53@yahoo.com,usa,wordpress,150.0,7.0,2017-07-13,3.7,84692.0,1,1
FL00076,nia ahmed,nia.ahmed5@yahoo.com,bangladesh,video editing,78.45,1.0,2019-09-08,4.0,119604.0,0,1
FL00077,amara patel,amara.patel33@outlook.com,pakistan,php,75.0,6.0,2018-09-16,3.8,48939.0,0,1
FL00078,nan,ali.garcia84@yahoo.com,india,data analysis,50.0,8.0,2021-07-13,4.0,77842.0,1,0
FL00079,zara johansson,zara.johansson28@gmail.com,canada,react,60.0,11.0,2020-04-12,4.3,43632.0,0,0
FL00080,amara kumar,amara.kumar73@gmail.com,bangladesh,machine learning,78.45,14.0,2020-02-01,3.8,142362.0,1,0
FL00081,fatima okafor,fatima.okafor49@gmail.com,uk,react,20.0,13.0,2020-01-12,4.0,78714.0,1,1
FL00082,deepak brown,deepak.brown15@gmail.com,uk,nan,25.0,7.32,2017-02-11,4.0,13260.0,1,0
FL00083,michael mbeki,michael.mbeki42@gmail.com,brazil,node.js,12.0,9.0,2018-07-30,3.6,90786.0,1,0
FL00084,omar ahmed,omar.ahmed29@yahoo.com,ukraine,machine learning,50.0,9.0,2023-06-18,3.6,21227.0,0,1
FL00085,natasha hassan,natasha.hassan98@outlook.com,germany,php,25.0,7.32,2021-10-05,4.2,126046.0,1,1
FL00086,omar yamamoto,omar.yamamoto47@outlook.com,uk,devops,25.0,9.0,2020-12-25,3.9,73631.88,0,1
FL00087,omar mbeki,omar.mbeki88@yahoo.com,uk,data analysis,20.0,7.0,2017-10-03,2.9,15896.0,0,1
FL00088,ravi khan,ravi.khan8@outlook.com,egypt,nan,12.0,7.32,2015-02-07,4.1,73631.88,0,0
