freelancer_id,name,email,country,primary_skill,hourly_rate_usd,years_experience,join_date,rating_avg,total_earnings_usd,profile_complete,verified
FL00001,Michael Khan,michael.khan70@gmail.com,EGYPT,JavaScript,12,7,2023-04-05,3.6,42353,YES,true
FL00002,Fatima Müller,fatima.müller59@outlook.com,Australia,UI/UX Design,15,3,2021-10-08,4.1,76361,0,False
FL00003,James Müller,james.müller88@outlook.com,UK,Data Analysis,60,11,2018-12-26,,8914,No,true
FL00004,Omar Yamamoto,omar.yamamoto72@outlook.com,Mexico,WordPress,150,15,2016-08-08,4.8,42438,No,1
FL00005,Natasha Patel,natasha.patel99@outlook.com,UK,wordpress,60,0,2022-08-24,4.5,133580,yes,true
FL00006,Juan Singh,juan.singh40@gmail.com,Brazil,Graphic Design,75,10,2016-04-03,4.4,144627,no,1
FL00007,Sergiy Garcia,sergiy.garcia57@outlook.com,Bangladesh,devops,75,N/A,2019-06-23,,87119,yes,true
FL00008,Michael Silva,michael.silva56@yahoo.com,Bangladesh,Video Editing,20,15,2019-07-26,4.1,50362,yes,false
FL00009,Priya Johansson,priya.johansson31@gmail.com,Canada,Node.js,,3,2015-03-02,3.8,146191,No,False
FL00010,Chen Nguyen,chen.nguyen68@gmail.com,Bangladesh,Python,100,1,2015-08-23,4.8,10918,No,0
FL00011,Michael Brown,michael.brown59@yahoo.com,,UI/UX Design,30,10,2019-06-10,3.9,75207,0,1
FL00012,Nia Patel,nia.patel96@outlook.com,Nigeria,Graphic Design,120,9,2016-07-04,,111537,Yes,True
FL00013,CARLOS PETROV,carlos.petrov89@gmail.com,Pakistan,Flutter,30,14,2021-04-16,4.3,27446,no,false
FL00014,Bjorn Petrov,bjorn.petrov53@outlook.com,Germany,React,25,5,2015-04-12,3.8,80503,0,False
FL00015,Yuki Brown,yuki.brown69@yahoo.com,Egypt,Node.js,50,2,2018-12-09,3.7,101476,yes,true
FL00016,Fatima Petrov,fatima.petrov80@yahoo.com,UK,Python,75,6,2015-10-14,4.6,99890,yes,1
FL00017,Zara Mbeki,zara.mbeki57@outlook.com,UK,Video Editing,12,6,2021-10-20,4.3,59388,yes,True
FL00018,Sergiy Okafor,sergiy.okafor89@gmail.com,Canada,WordPress,15,6,2020-07-17,3.2,32313,0,false
FL00019,Ivan Rossi,ivan.rossi21@outlook.com,Brazil,WordPress,40,14,2019-10-14,3.9,142097,yes,False
FL00020,Ali Johansson,ali.johansson54@yahoo.com,Pakistan,Machine Learning,25,N/A,2020-03-23,3.6,110343,1,1
FL00021,Juan Singh,juan.singh52@outlook.com,Mexico,,60,,2019-05-12,,99879,No,true
FL00022,SARAH SHARMA,sarah.sharma45@gmail.com,Mexico,SEO,30,N/A,2020-04-10,4.4,30486,yes,false
FL00023,Yuki Ahmed,yuki.ahmed40@outlook.com,Australia,UI/UX Design,20,3,2018-06-28,4.4,148855,YES,1
FL00024,Lena Petrov,lena.petrov82@yahoo.com,Ukraine,JavaScript,75,0,2020-06-30,3.5,70858,yes,True
FL00025,Ali Singh,ali.singh28@yahoo.com,Canada,Node.js,,12,2020-07-17,3.2,129165,Yes,True
FL00026,Juan Johansson,juan.johansson71@yahoo.com,UK,Machine Learning,25,11,2020-12-14,4.1,127429,no,1
FL00027,James Garcia,james.garcia6@gmail.com,USA,PHP,25,11,2015-02-27,4.1,125733,Yes,false
FL00028,Amara Mbeki,amara.mbeki72@yahoo.com,Nigeria,Flutter,120,4,2018-05-29,4.1,26513,yes,0
